A1,A2,A3,A4,A5,B1,B2,B3,C1,C2,C3,C4,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,F7,F8,F9,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15
50,Female / Perempuan,Diploma,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi,None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Quiz / Kuiz;Offline learning / Pembelajaran luar talian;Intuitive Interface / Antara Muka Intuitif (mudah difahami),Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
41,Female / Perempuan,Master,Swasta,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Android,Wi-Fi;Hotspot,Communication/ Komunikasi;Entertainment/Hiburan,None / Tiada asas,No / Tidak,Yes / Ya,I have never learnt arabic,Yes / Ya,I dont communicate in arabic,No / Tidak,I have never learnt arabic,I have never learnt arabic,I have never learnt arabic,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Offline learning / Pembelajaran luar talian;Intuitive Interface / Antara Muka Intuitif (mudah difahami);Option for flexible learning,Yes / Ya,Yes / Ya,No comment as have never tried before,Yes / Ya,Dependent of the response rate,Yes / Ya,Yes / Ya,Yes / Ya,Depends on the method of teaching ,3,3,3,2,2,2,3,2,1,3,3,3,3,2,3
49,Female / Perempuan,Master,Swasta,undisclosed,Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan;Business/ Perniagaan,Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Gamification / Gamifikasi;Quiz / Kuiz;Offline learning / Pembelajaran luar talian;Intuitive Interface / Antara Muka Intuitif (mudah difahami);Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
46,Female / Perempuan,Degree,Swasta,P&C,Yes / Ya,Apple IOS,Wi-Fi;Hotspot,Communication/ Komunikasi;Entertainment/Hiburan;Business/ Perniagaan,Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,In-App communication/ Komunikasi dalam Aplikasi;Gamification / Gamifikasi,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
49,Female / Perempuan,Master,Swasta,undisclosed,Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan;Business/ Perniagaan,Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Gamification / Gamifikasi;Quiz / Kuiz;Offline learning / Pembelajaran luar talian;Intuitive Interface / Antara Muka Intuitif (mudah difahami);Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
46,Female / Perempuan,Degree,Swasta,P&C,Yes / Ya,Apple IOS,Wi-Fi;Hotspot,Communication/ Komunikasi;Entertainment/Hiburan;Business/ Perniagaan,Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,In-App communication/ Komunikasi dalam Aplikasi;Gamification / Gamifikasi,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
49,Female / Perempuan,Master,Swasta,undisclosed,Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan;Business/ Perniagaan,Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Gamification / Gamifikasi;Quiz / Kuiz;Offline learning / Pembelajaran luar talian;Intuitive Interface / Antara Muka Intuitif (mudah difahami);Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
46,Female / Perempuan,Degree,Swasta,P&C,Yes / Ya,Apple IOS,Wi-Fi;Hotspot,Communication/ Komunikasi;Entertainment/Hiburan;Business/ Perniagaan,Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,In-App communication/ Komunikasi dalam Aplikasi;Gamification / Gamifikasi,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
51,Female / Perempuan,Degree,Surirumah,Housewife,Yes / Ya,Apple IOS,Wi-Fi,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan;Business/ Perniagaan,None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Gamification / Gamifikasi;Quiz / Kuiz;Offline learning / Pembelajaran luar talian;Intuitive Interface / Antara Muka Intuitif (mudah difahami);Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
54,Female / Perempuan,Master,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi;Education/Pembelajaran,None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
57,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Android,mobile data,Communication/ Komunikasi;Education/Pembelajaran,None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Quiz / Kuiz;Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
45,Female / Perempuan,Master,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Android,mobile data,Communication/ Komunikasi;Education/Pembelajaran,Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Intuitive Interface / Antara Muka Intuitif (mudah difahami);Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3
46,Female / Perempuan,Degree,Swasta,P&C,Yes / Ya,Apple IOS,Wi-Fi;Hotspot,Communication/ Komunikasi;Entertainment/Hiburan;Business/ Perniagaan,Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,In-App communication/ Komunikasi dalam Aplikasi;Gamification / Gamifikasi,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
44,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Android,Wi-Fi;Broadband,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan,Basic / Tahap Asas,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Gamification / Gamifikasi;Quiz / Kuiz,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3
46,Female / Perempuan,Degree,Swasta,P&C,Yes / Ya,Apple IOS,Wi-Fi;Hotspot,Communication/ Komunikasi;Entertainment/Hiburan;Business/ Perniagaan,Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,In-App communication/ Komunikasi dalam Aplikasi;Gamification / Gamifikasi,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
46,Female / Perempuan,Degree,Swasta,P&C,Yes / Ya,Apple IOS,Wi-Fi;Hotspot,Communication/ Komunikasi;Entertainment/Hiburan;Business/ Perniagaan,Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,In-App communication/ Komunikasi dalam Aplikasi;Gamification / Gamifikasi,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
46,Female / Perempuan,SPM,Kerajaan,"RM 2,500 ï¿½ï¿½ï¿½ï¿½",Yes / Ya,Android,Hotspot,Communication/ Komunikasi;Entertainment/Hiburan;Business/ Perniagaan;working,Basic / Tahap Asas,No / Tidak,Yes / Ya,only simple word easy,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Gamification / Gamifikasi;Quiz / Kuiz;Offline learning / Pembelajaran luar talian;Intuitive Interface / Antara Muka Intuitif (mudah difahami);Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
56,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Android,Wi-Fi;Digi,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan,None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,In-App communication/ Komunikasi dalam Aplikasi;Offline learning / Pembelajaran luar talian,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,1,2,3,3,2,2,3,3,2,2,3,2,3,2,2
57,Female / Perempuan,Diploma,Surirumah,Bawah RM 2500,Yes / Ya,Android,Wi-Fi;DiGi ,Communication/ Komunikasi;Entertainment/Hiburan,None / Tiada asas,No / Tidak,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Quiz / Kuiz;Offline learning / Pembelajaran luar talian,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
56,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Apple IOS,Wi-Fi,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan,Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Choose tutor/ Pilih tutor.;In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Gamification / Gamifikasi;Quiz / Kuiz;Offline learning / Pembelajaran luar talian;Intuitive Interface / Antara Muka Intuitif (mudah difahami);Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
45,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi,Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,In-App communication/ Komunikasi dalam Aplikasi,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
47,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Apple IOS,Wi-Fi;Hotspot,Communication/ Komunikasi;Education/Pembelajaran,Basic / Tahap Asas,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,No / Tidak,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Gamification / Gamifikasi;Quiz / Kuiz;Offline learning / Pembelajaran luar talian;Intuitive Interface / Antara Muka Intuitif (mudah difahami);Progress bar / Bar Kemajuan,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
43,Female / Perempuan,Degree,Kerajaan,"RM 5,000 ï¿½ï¿½ï¿½ï¿½ï",Yes / Ya,Android,Wi-Fi,Communication/ Komunikasi;Education/Pembelajaran;Entertainment/Hiburan,Basic / Tahap Asas,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,In-App communication/ Komunikasi dalam Aplikasi;Reminder or Push Notification / Pemberitahuan Peringatan atau Notifikasi;Gamification / Gamifikasi;Quiz / Kuiz,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,Yes / Ya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
